config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
edge-1-smoothing-min,1,24003,1,16384,8243,651,3920,3570,6875,3845,9180,2437,4767,0.004730,12728242639966732679,376,7,9,4,492,545,227,983,ok
edge-1-smoothing-min,1,24004,1,16384,8229,645,3964,3546,6848,3913,9169,2420,4795,0.001407,7515091598127115981,416,9,3,4,543,511,240,994,ok
edge-1-smoothing-min,1,24004,1,16384,8229,645,3964,3546,6848,3913,9169,2420,4795,0.001414,7515091598127115981,416,9,3,4,543,511,240,994,ok
edge-1-smoothing-max,1,24001,1,16384,9465,233,5012,1674,7381,5845,9902,1069,5413,0.001902,7108776383409922387,728,16,15,4,666,949,364,991,ok
edge-1-smoothing-max,1,24001,1,16384,9465,233,5012,1674,7381,5845,9902,1069,5413,0.001357,7108776383409922387,728,16,15,4,666,949,364,991,ok
edge-1-smoothing-max,1,24003,1,16384,9470,260,5040,1614,7295,5826,9880,1066,5438,0.005065,6057965752441029688,795,14,14,4,702,967,398,988,ok
edge-1-smoothing-max,1,24003,1,16384,9470,260,5040,1614,7295,5826,9880,1066,5438,0.002917,6057965752441029688,795,14,14,4,702,967,398,988,ok
edge-1-smoothing-max,1,24004,1,16384,9350,307,4949,1778,7329,5697,9808,1196,5380,0.003134,12055984761683483090,519,12,11,4,827,781,307,993,ok
edge-1-smoothing-max,1,24004,1,16384,9350,307,4949,1778,7329,5697,9808,1196,5380,0.001379,12055984761683483090,519,12,11,4,827,781,307,993,ok
edge-1-fruit-min,1,24001,1,16384,9332,282,4946,1824,7342,5640,9806,1193,5385,0.032317,11947252659821411454,579,10,10,4,954,641,315,994,ok
edge-1-fruit-min,1,24001,1,16384,9332,282,4946,1824,7342,5640,9806,1193,5385,0.001444,11947252659821411454,579,10,10,4,954,641,315,994,ok
edge-1-fruit-min,1,24003,1,16384,9411,274,4987,1712,7352,5779,9850,1129,5405,0.001347,5813234162792613140,556,18,17,4,824,755,400,991,ok
edge-1-fruit-min,1,24003,1,16384,9411,274,4987,1712,7352,5779,9850,1129,5405,0.001906,5813234162792613140,556,18,17,4,824,755,400,991,ok
edge-1-fruit-min,1,24004,1,16384,9349,285,4978,1772,7329,5810,9811,1170,5403,0.001419,5815179870271813462,888,20,6,4,593,1057,290,994,ok
edge-1-fruit-min,1,24004,1,16384,9349,285,4978,1772,7329,5810,9811,1170,5403,0.001336,5815179870271813462,888,20,6,4,593,1057,290,994,ok
edge-1-fruit-max,1,24001,1,16384,9332,282,4946,1824,7044,4165,9806,1193,5385,0.001389,6867792694369419104,327,10,10,4,954,641,315,994,ok
edge-1-fruit-max,1,24001,1,16384,9332,282,4946,1824,7044,4165,9806,1193,5385,0.005230,6867792694369419104,327,10,10,4,954,641,315,994,ok
edge-1-fruit-max,1,24003,1,16384,9411,274,4987,1712,7017,4404,9850,1129,5405,0.001407,4327981281064200431,328,18,17,4,824,755,400,991,ok
edge-1-fruit-max,1,24003,1,16384,9411,274,4987,1712,7017,4404,9850,1129,5405,0.002306,4327981281064200431,328,18,17,4,824,755,400,991,ok
edge-1-fruit-max,1,24004,1,16384,9349,285,4978,1772,7026,4313,9811,1170,5403,0.001422,4390929319407353961,651,20,6,4,593,1057,290,994,ok
edge-1-fruit-max,1,24004,1,16384,9349,285,4978,1772,7026,4313,9811,1170,5403,0.001380,4390929319407353961,651,20,6,4,593,1057,290,994,ok
edge-1-repeat-min,1,24001,1,16384,9332,282,4946,1824,7332,5567,9806,1193,5385,0.001382,13890498528614818315,575,10,10,4,954,641,315,994,ok
edge-1-repeat-min,1,24001,1,16384,9332,282,4946,1824,7332,5567,9806,1193,5385,0.002214,13890498528614818315,575,10,10,4,954,641,315,994,ok
edge-1-repeat-min,1,24003,1,16384,9411,274,4987,1712,7329,5680,9850,1129,5405,0.001691,1743860520622184812,551,18,17,4,824,755,400,991,ok
edge-1-repeat-min,1,24003,1,16384,9411,274,4987,1712,7329,5680,9850,1129,5405,0.009181,1743860520622184812,551,18,17,4,824,755,400,991,ok
edge-1-repeat-min,1,24004,1,16384,9349,285,4978,1772,7316,5732,9811,1170,5403,0.002014,17965142136197182547,851,20,6,4,593,1057,290,994,ok
edge-1-repeat-min,1,24004,1,16384,9349,285,4978,1772,7316,5732,9811,1170,5403,0.004363,17965142136197182547,851,20,6,4,593,1057,290,994,ok
edge-1-repeat-max,1,24001,1,16384,8192,728,4008,3456,6496,2060,9124,2424,4836,0.000693,3221758993762238880,184,2,10,4,384,544,32,960,ok
edge-1-repeat-max,1,24001,1,16384,8192,728,4008,3456,6496,2060,9124,2424,4836,0.000712,3221758993762238880,184,2,10,4,384,544,32,960,ok
edge-1-repeat-max,1,24003,1,16384,7556,660,3232,4936,5732,836,8872,3096,4416,0.001259,15318678605301309947,108,6,4,4,540,416,156,960,ok
edge-1-repeat-max,1,24003,1,16384,7556,660,3232,4936,5732,836,8872,3096,4416,0.000595,15318678605301309947,108,6,4,4,540,416,156,960,ok
edge-1-repeat-max,1,24004,1,16384,8180,728,3756,3720,6464,1564,9172,2556,4656,0.001808,2270769969064918328,138,5,6,4,244,500,124,960,ok
edge-1-repeat-max,1,24004,1,16384,8180,728,3756,3720,6464,1564,9172,2556,4656,0.000576,2270769969064918328,138,5,6,4,244,500,124,960,ok
size-1-6-6-4,1,24001,1,4096,2318,73,1233,472,1764,1089,2443,308,1345,0.000442,17079717480519420910,319,11,6,4,104,269,85,247,ok
size-1-6-6-4,1,24001,1,4096,2318,73,1233,472,1764,1089,2443,308,1345,0.001205,17079717480519420910,319,11,6,4,104,269,85,247,ok
size-1-6-6-4,1,24003,0,4096,0,0,4096,0,0,0,2431,330,1335,0.000303,3748852957731584147,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-4,1,24003,0,4096,0,0,4096,0,0,0,2431,330,1335,0.000738,3748852957731584147,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-4,1,24004,1,4096,2220,136,1120,620,1746,1089,2383,446,1267,0.001094,11627436278644698582,310,7,18,4,121,194,66,247,ok
size-1-6-6-4,1,24004,1,4096,2220,136,1120,620,1746,1089,2383,446,1267,0.000431,11627436278644698582,310,7,18,4,121,194,66,247,ok
size-1-6-6-12,1,24001,0,4096,0,0,4096,0,0,0,2443,308,1345,0.000325,3724996725508102354,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-12,1,24001,0,4096,0,0,4096,0,0,0,2443,308,1345,0.000323,3724996725508102354,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-12,1,24003,0,4096,0,0,4096,0,0,0,2431,330,1335,0.000967,3748852957731584147,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-12,1,24003,0,4096,0,0,4096,0,0,0,2431,330,1335,0.000304,3748852957731584147,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-12,1,24004,0,4096,0,0,4096,0,0,0,2382,447,1267,0.000394,5764149895046820619,4096,100000,100000,0,0,0,0,0,failed
size-1-6-6-12,1,24004,0,4096,0,0,4096,0,0,0,2382,447,1267,0.001097,5764149895046820619,4096,100000,100000,0,0,0,0,0,failed
size-1-7-7-8,1,24001,1,16384,9332,282,4946,1824,7252,5357,9806,1193,5385,0.001508,2571324380836695905,490,13,13,8,954,641,315,994,ok
size-1-7-7-8,1,24001,1,16384,9332,282,4946,1824,7252,5357,9806,1193,5385,0.004267,2571324380836695905,490,13,13,8,954,641,315,994,ok
size-1-7-7-8,1,24003,1,16384,9415,274,4987,1708,7303,5583,9851,1128,5405,0.009835,9280150380393299210,0,18,17,7,789,743,397,991,ok
size-1-7-7-8,1,24003,1,16384,9415,274,4987,1708,7303,5583,9851,1128,5405,0.002735,9280150380393299210,0,18,17,7,789,743,397,991,ok
size-1-7-7-8,1,24004,1,16384,9353,285,4978,1768,7240,5547,9812,1169,5403,0.001501,11396205303651550806,814,20,18,8,593,1057,290,994,ok
size-1-7-7-8,1,24004,1,16384,9353,285,4978,1768,7240,5547,9812,1169,5403,0.002575,11396205303651550806,814,20,18,8,593,1057,290,994,ok
size-1-6-9-12,1,24001,1,32768,18450,768,9592,3958,14638,11066,19484,2747,10537,0.003206,205956527766588996,524,10,15,12,1260,1711,586,1990,ok
size-1-6-9-12,1,24001,1,32768,18450,768,9592,3958,14638,11066,19484,2747,10537,0.048581,205956527766588996,524,10,15,12,1260,1711,586,1990,ok
size-1-6-9-12,1,24003,1,32768,18547,735,9666,3820,14623,11114,19544,2644,10580,0.008060,4488402287655512689,213,12,19,12,1536,1454,677,1988,ok
