generator,map_seed,map_roll_seed,rotation,engine_seed,status,end_reason,adjudication,ticks,wall_seconds,winner_start,winner_team,winner_x,winner_y,elimination_order,placement_by_start,start_mismatch,orders,cap_checksum
58,2002,23265159,0,2,ok,elimination,decisive,58274,564.509,3,3,108,4,1@34875;2@43135;0@58270,0:2;1:4;2:3;3:1,0,0,
58,2002,23265159,1,3,ok,elimination,decisive,28258,283.299,1,2,44,60,3@19128;0@20945;2@28240,0:3;1:1;2:2;3:4,0,0,
58,2002,23265159,1,4,ok,elimination,decisive,42850,441.28,1,2,44,60,0@31793;3@41052;2@42839,0:4;1:1;2:2;3:3,0,0,
58,2002,23265159,2,5,ok,elimination,decisive,36322,343.873,3,1,108,4,2@33482;1@34642;0@36315,0:2;1:3;2:4;3:1,0,0,
58,2002,23265159,2,6,ok,elimination,decisive,53442,533.646,0,2,44,124,3@27307;1@38065;2@53440,0:1;1:3;2:2;3:4,0,0,
58,2002,23265159,3,7,ok,elimination,decisive,47202,488.71,2,1,108,68,0@26586;1@42746;3@47179,0:4;1:3;2:1;3:2,0,0,
58,2002,23265159,3,8,ok,elimination,decisive,49986,464.52,1,0,44,60,2@32698;3@41040;0@49959,0:2;1:1;2:4;3:3,0,0,
58,2003,36133630,0,1,ok,elimination,decisive,40738,442.702,1,1,20,60,3@27267;0@31208;2@40722,0:3;1:1;2:2;3:4,0,0,
58,2003,36133630,0,2,ok,elimination,decisive,34434,329.143,2,2,20,124,1@22986;0@34071;3@34429,0:3;1:4;2:1;3:2,0,0,
58,2003,36133630,1,3,ok,elimination,decisive,38466,386.073,2,3,20,124,1@22756;3@34535;0@38459,0:2;1:4;2:1;3:3,0,0,
58,2003,36133630,1,4,ok,elimination,decisive,32866,297.085,1,2,20,60,3@28590;2@29280;0@32855,0:2;1:1;2:3;3:4,0,0,
58,2003,36133630,2,5,ok,elimination,decisive,36994,288.326,0,2,84,3,2@21337;3@29044;1@36983,0:1;1:2;2:4;3:3,0,0,
58,2003,36133630,2,6,ok,elimination,decisive,39234,331.923,1,3,20,60,0@30071;2@34975;3@39213,0:4;1:1;2:3;3:2,0,0,
58,2003,36133630,3,7,ok,elimination,decisive,37378,335.489,2,1,20,124,0@32186;3@33152;1@37368,0:4;1:2;2:1;3:3,0,0,
58,2003,36133630,3,8,ok,elimination,decisive,45506,362.142,2,1,20,124,3@35759;1@42762;0@45502,0:2;1:3;2:1;3:4,0,0,
58,2004,380383894,0,1,ok,elimination,decisive,36354,345.574,1,1,99,4,2@23138;0@28747;3@36327,0:3;1:1;2:4;3:2,0,0,
58,2004,380383894,0,2,ok,elimination,decisive,35714,284.83,2,2,100,68,3@28493;0@29219;1@35697,0:3;1:2;2:1;3:4,0,0,
58,2004,380383894,1,3,ok,elimination,decisive,46594,346.585,2,3,100,68,1@17039;0@44189;3@46581,0:3;1:4;2:1;3:2,0,0,
58,2004,380383894,1,4,ok,elimination,decisive,34914,290.128,1,2,99,4,0@26160;3@30963;2@34900,0:4;1:1;2:2;3:3,0,0,
58,2004,380383894,2,5,ok,elimination,decisive,36898,279.046,0,2,36,12,3@25490;1@31569;2@36891,0:1;1:3;2:2;3:4,0,0,
58,2004,380383894,2,6,ok,elimination,decisive,44802,354.575,1,3,99,4,3@41505;2@42996;0@44782,0:2;1:1;2:3;3:4,0,0,
58,2004,380383894,3,7,ok,elimination,decisive,35170,275.766,1,0,99,4,2@19769;0@28218;3@35158,0:3;1:1;2:4;3:2,0,0,
58,2004,380383894,3,8,ok,elimination,decisive,38402,300.565,3,2,36,76,0@23194;2@32466;1@38383,0:4;1:2;2:3;3:1,0,0,
58,2005,862494405,0,1,ok,elimination,decisive,36770,397.46,3,3,116,4,0@29556;2@36717;1@36751,0:4;1:2;2:3;3:1,0,0,
58,2005,862494405,0,2,ok,elimination,decisive,34530,299.299,3,3,116,4,1@30232;0@33474;2@34510,0:3;1:4;2:2;3:1,0,0,
58,2005,862494405,1,3,ok,elimination,decisive,36098,319.45,3,0,116,4,0@29653;1@31820;2@36088,0:4;1:3;2:2;3:1,0,0,
58,2005,862494405,1,4,ok,elimination,decisive,39586,308.648,3,0,116,4,0@23338;1@37328;2@39577,0:4;1:3;2:2;3:1,0,0,
58,2005,862494405,2,5,ok,elimination,decisive,37378,287.965,3,1,116,4,1@26851;0@31178;2@37369,0:3;1:4;2:2;3:1,0,0,
58,2005,862494405,2,6,ok,elimination,decisive,36098,311.246,3,1,116,4,0@27972;2@33929;1@36094,0:4;1:2;2:3;3:1,0,0,
58,2005,862494405,3,7,ok,elimination,decisive,44194,313.341,2,1,52,52,0@19567;1@41880;3@44179,0:4;1:3;2:1;3:2,0,0,
58,2005,862494405,3,8,ok,elimination,decisive,42082,325.375,2,1,52,52,0@32119;1@33104;3@42067,0:4;1:3;2:1;3:2,0,0,
58,2006,3496247813,0,1,ok,elimination,decisive,33602,439.948,3,3,100,2,0@26111;1@26956;2@33570,0:4;1:3;2:2;3:1,0,0,
58,2006,3496247813,0,2,ok,elimination,decisive,32130,303.432,3,3,100,2,0@29701;1@31074;2@32103,0:4;1:3;2:2;3:1,0,0,
58,2006,3496247813,1,3,ok,elimination,decisive,35714,383.315,3,0,100,2,0@30077;2@33713;1@35697,0:4;1:2;2:3;3:1,0,0,
58,2006,3496247813,1,4,ok,elimination,decisive,43234,411.481,3,0,100,2,2@26279;1@43170;0@43218,0:2;1:3;2:4;3:1,0,0,
58,2006,3496247813,2,5,ok,elimination,decisive,32002,279.449,3,1,100,2,0@22559;2@30249;1@31972,0:4;1:2;2:3;3:1,0,0,
58,2006,3496247813,2,6,ok,elimination,decisive,30722,282.91,3,1,100,2,1@18793;2@29994;0@30714,0:2;1:4;2:3;3:1,0,0,
58,2006,3496247813,3,7,ok,elimination,decisive,28738,269.984,3,2,100,2,0@15420;2@21406;1@28730,0:4;1:2;2:3;3:1,0,0,
58,2006,3496247813,3,8,ok,elimination,decisive,23106,211.88,3,2,100,2,0@13513;2@19650;1@23082,0:4;1:2;2:3;3:1,0,0,
59,2001,2545613269,0,1,ok,elimination,decisive,46722,468.217,3,3,69,93,1@28354;2@44045;0@46690,0:2;1:4;2:3;3:1,0,0,
59,2001,2545613269,0,2,ok,elimination,decisive,51298,430.589,0,0,65,14,1@37490;3@44341;2@51290,0:1;1:4;2:2;3:3,0,0,
59,2001,2545613269,1,3,ok,elimination,decisive,47810,460.368,0,1,65,14,1@30972;3@38734;2@47782,0:1;1:4;2:2;3:3,0,0,
59,2001,2545613269,1,4,ok,elimination,decisive,72162,567.704,1,2,6,32,0@40263;2@56704;3@72149,0:4;1:1;2:3;3:2,0,0,
59,2001,2545613269,2,5,ok,elimination,decisive,40482,319.813,0,2,65,14,1@33381;3@39254;2@40466,0:1;1:4;2:2;3:3,0,0,
59,2001,2545613269,2,6,ok,elimination,decisive,50402,416.164,3,1,69,93,0@24596;2@48466;1@50383,0:4;1:2;2:3;3:1,0,0,
59,2001,2545613269,3,7,ok,elimination,decisive,37506,324.699,3,2,69,93,2@25046;1@37270;0@37500,0:2;1:3;2:4;3:1,0,0,
59,2001,2545613269,3,8,ok,elimination,decisive,38178,257.506,3,2,69,93,0@23997;1@33369;2@38157,0:4;1:3;2:2;3:1,0,0,
59,2002,3034067026,0,1,ok,elimination,decisive,46594,512.937,1,1,64,126,0@33926;2@34985;3@46578,0:4;1:1;2:3;3:2,0,0,
59,2002,3034067026,0,2,ok,elimination,decisive,46722,427.061,1,1,64,126,3@26989;0@43337;2@46696,0:3;1:1;2:2;3:4,0,0,
59,2002,3034067026,1,3,ok,elimination,decisive,37186,427.791,3,0,126,43,1@35642;0@36539;2@37169,0:3;1:4;2:2;3:1,0,0,
59,2002,3034067026,1,4,ok,elimination,decisive,45218,421.292,0,1,126,107,3@37910;2@41796;1@45211,0:1;1:2;2:3;3:4,0,0,
59,2002,3034067026,2,5,ok,elimination,decisive,38146,330.081,3,1,126,43,0@23880;1@30163;2@38138,0:4;1:3;2:2;3:1,0,0,
59,2002,3034067026,2,6,ok,elimination,decisive,38466,350.773,1,3,64,126,0@20019;2@31789;3@38462,0:4;1:1;2:3;3:2,0,0,
59,2002,3034067026,3,7,ok,elimination,decisive,53186,461.328,3,2,126,43,0@34956;1@51786;2@53174,0:4;1:3;2:2;3:1,0,0,
59,2002,3034067026,3,8,ok,elimination,decisive,47522,304.35,3,2,126,43,2@15441;0@29267;1@47507,0:3;1:2;2:4;3:1,0,0,
59,2003,36133630,0,1,ok,elimination,decisive,58242,551.175,0,0,66,3,1@30062;3@55116;2@58223,0:1;1:4;2:2;3:3,0,0,
59,2003,36133630,0,2,ok,elimination,decisive,35010,366.393,3,3,13,14,1@29116;0@34755;2@34980,0:3;1:4;2:2;3:1,0,0,
59,2003,36133630,1,3,ok,elimination,decisive,41410,492.404,0,1,66,3,1@34133;2@37084;3@41399,0:1;1:4;2:3;3:2,0,0,
59,2003,36133630,1,4,ok,elimination,decisive,31266,312.738,0,1,66,3,3@25738;2@26435;1@31245,0:1;1:2;2:3;3:4,0,0,
59,2003,36133630,2,5,ok,elimination,decisive,33538,278.436,1,3,78,67,3@23004;2@26466;0@33519,0:2;1:1;2:3;3:4,0,0,
59,2003,36133630,2,6,ok,elimination,decisive,36514,381.636,1,3,78,67,2@33074;3@36116;0@36487,0:2;1:1;2:4;3:3,0,0,
59,2003,36133630,3,7,ok,elimination,decisive,40290,345.262,1,0,78,67,0@17569;3@38334;2@40274,0:4;1:1;2:2;3:3,0,0,
59,2003,36133630,3,8,ok,elimination,decisive,42850,271.714,1,0,78,67,3@32417;0@39573;2@42839,0:3;1:1;2:2;3:4,0,0,
59,2004,3707936981,0,1,ok,elimination,decisive,41218,381.722,3,3,119,95,2@27898;0@31069;1@41193,0:3;1:2;2:4;3:1,0,0,
59,2004,3707936981,0,2,ok,elimination,decisive,41858,421.267,2,2,73,89,1@40270;3@41761;0@41842,0:2;1:4;2:1;3:3,0,0,
59,2004,3707936981,1,3,ok,elimination,decisive,39394,437.337,3,0,119,95,2@17169;0@37912;1@39392,0:3;1:2;2:4;3:1,0,0,
59,2004,3707936981,1,4,ok,elimination,decisive,53794,518.721,3,0,119,95,2@37267;1@53264;0@53769,0:2;1:3;2:4;3:1,0,0,
59,2004,3707936981,2,5,ok,elimination,decisive,41570,355.7,0,2,12,50,3@32107;2@39124;1@41541,0:1;1:2;2:3;3:4,0,0,
59,2004,3707936981,2,6,ok,elimination,decisive,44802,374.588,3,1,119,95,1@25464;2@30153;0@44794,0:2;1:4;2:3;3:1,0,0,
59,2004,3707936981,3,7,ok,elimination,decisive,47714,415.013,0,3,12,50,2@17452;3@36122;1@47704,0:1;1:2;2:4;3:3,0,0,
59,2004,3707936981,3,8,ok,elimination,decisive,44994,295.956,0,3,12,50,1@40836;2@43186;3@44986,0:1;1:4;2:3;3:2,0,0,
59,2005,862494405,0,1,ok,elimination,decisive,49442,513.736,3,3,86,31,0@43378;1@47840;2@49433,0:4;1:3;2:2;3:1,0,0,
59,2005,862494405,0,2,ok,elimination,decisive,52194,549.07,3,3,86,31,0@39423;2@40793;1@52178,0:4;1:2;2:3;3:1,0,0,
59,2005,862494405,1,3,ok,elimination,decisive,50946,551.401,2,3,15,126,0@32741;1@41515;3@50923,0:4;1:3;2:1;3:2,0,0,
59,2005,862494405,1,4,ok,elimination,decisive,66178,503.862,0,1,78,88,2@23652;3@35351;1@66152,0:1;1:2;2:4;3:3,0,0,
59,2005,862494405,2,5,ok,elimination,decisive,70626,587.923,1,3,19,55,3@34179;2@65578;0@70625,0:2;1:1;2:3;3:4,0,0,
59,2005,862494405,2,6,ok,elimination,decisive,41666,411.577,2,0,15,126,1@31805;0@32212;3@41637,0:3;1:4;2:1;3:2,0,0,
59,2005,862494405,3,7,ok,elimination,decisive,52610,509.262,1,0,19,55,2@32638;0@47297;3@52598,0:3;1:1;2:4;3:2,0,0,
59,2005,862494405,3,8,ok,elimination,decisive,35074,252.553,2,1,15,126,1@25613;3@30886;0@35042,0:2;1:4;2:1;3:3,0,0,
59,2006,2794315811,0,1,ok,elimination,decisive,59010,560.025,3,3,51,44,1@41219;0@53839;2@58980,0:3;1:4;2:2;3:1,0,0,
59,2006,2794315811,0,2,ok,elimination,decisive,39298,356.906,0,0,61,95,3@20729;2@22303;1@39276,0:1;1:2;2:3;3:4,0,0,
59,2006,2794315811,1,3,ok,elimination,decisive,56322,532.756,1,2,127,65,2@24643;0@33942;3@56297,0:3;1:1;2:4;3:2,0,0,
59,2006,2794315811,1,4,ok,elimination,decisive,23810,238.514,0,1,61,95,3@15023;2@21440;1@23798,0:1;1:2;2:3;3:4,0,0,
59,2006,2794315811,2,5,ok,elimination,decisive,34402,306.128,0,2,61,95,1@27689;2@30029;3@34394,0:1;1:4;2:3;3:2,0,0,
59,2006,2794315811,2,6,ok,elimination,decisive,61314,502.474,3,1,51,44,1@27208;0@45400;2@61301,0:3;1:4;2:2;3:1,0,0,
59,2006,2794315811,3,7,ok,elimination,decisive,33922,328.864,0,3,61,95,3@27081;2@31645;1@33921,0:1;1:2;2:3;3:4,0,0,
59,2006,2794315811,3,8,ok,elimination,decisive,40258,239.531,0,3,61,95,3@16078;2@31873;1@40229,0:1;1:2;2:3;3:4,0,0,
