job,host,seed,variant,shape,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
4c13b940d0fb8159e4e64b9125488e06,therig.local,50129,combined-random,128x256x2,completed,lava-shield revision 1 seed 50129 [complete]: ,200,3,200,8,25,8,50,2,4,275,7,75,2,0.984596,0.602767,640,0.625,0.71875,9,5,False,0,2,0,0,2
c6ff3713c7dee10c47aa9dfd6371c417,therig.local,50130,combined-random,256x128x2,completed,lava-shield revision 1 seed 50130 [complete]: ,200,0,225,7,75,6,275,2,4,275,8,25,2,0.985697,0.579644,495,0.583333,0.71875,0,0,False,0,2,0,0,2
e7be70471db2313a54143b1dbd72026b,therig.local,50131,combined-random,256x256x2,completed,lava-shield revision 1 seed 50131 [complete]: ,225,1,125,8,50,10,250,2,6,250,8,75,7,0.991373,0.611548,804,0.625,0.71875,6,4,False,0,2,0,0,2
062e61447fc60aafdf40aa1f127d7f51,therig.local,50132,combined-random,256x256x4,completed,lava-shield revision 1 seed 50132 [complete]: ,50,2,175,8,75,10,150,4,8,0,8,50,5,0.956181,0.545682,758,0.625,0.71875,16,9,True,0,2,0,0,2
83f8e766bccb828fa964a1058fc45dde,therig.local,50133,combined-random,256x256x8,completed,lava-shield revision 1 seed 50133 [complete]: ,150,2,175,8,50,6,125,8,5,250,8,225,7,0.88903,0.497196,445,0.625,0.6875,10,10,True,0,2,0,0,2
ad099349955aac1c9a9c8b3159549a8a,therig.local,50134,combined-random,256x512x2,completed,lava-shield revision 1 seed 50134 [complete]: ,100,0,125,9,50,12,100,2,3,125,8,275,5,0.971316,0.593056,1102,0.541667,0.71875,0,0,False,0,2,0,0,2
1806244cb874e8956004a77a4fb6716d,therig.local,50135,combined-random,256x512x4,completed,lava-shield revision 1 seed 50135 [complete]: ,150,2,125,9,75,6,275,4,5,300,8,200,2,0.9338,0.547204,776,0.625,0.6875,10,9,False,0,2,0,0,2
8555bada869cf72a71a400312c77441a,therig.local,50136,combined-random,256x512x8,completed,lava-shield revision 1 seed 50136 [complete]: ,175,1,0,9,75,8,175,8,5,275,8,50,6,0.928608,0.545532,754,0.625,0.65625,5,4,False,0,2,0,0,2
583ae241b06eacb51d08045237c347f0,therig.local,50137,combined-random,512x256x2,completed,lava-shield revision 1 seed 50137 [complete]: ,175,1,25,8,50,10,75,2,9,0,9,225,2,0.919653,0.537442,976,0.583333,0.6875,9,8,False,0,2,0,0,2
4c2e95490447df9327ec19333eb4a016,therig.local,50138,combined-random,512x256x4,completed,lava-shield revision 1 seed 50138 [complete]: ,150,1,175,8,25,6,150,4,3,100,9,75,2,0.975948,0.601604,813,0.625,0.65625,3,3,False,0,2,0,0,2
f452d0610cbd26747fe424aed2237e7c,therig.local,50139,combined-random,512x256x8,completed,lava-shield revision 1 seed 50139 [complete]: ,25,3,75,8,50,8,100,8,4,150,9,150,4,0.925819,0.558213,880,0.625,0.71875,12,11,False,0,2,0,0,2
33a36a6bc9fb561dc0c8efa54368ca0f,therig.local,50140,combined-random,512x512x2,completed,lava-shield revision 1 seed 50140 [complete]: ,0,1,300,9,75,6,0,2,8,300,9,275,6,0.988976,0.615307,888,0.625,0.71875,8,7,False,0,2,0,0,2
a0732313f3abe2481a11d3f9b37b0770,therig.local,50141,combined-random,512x512x4,completed,lava-shield revision 1 seed 50141 [complete]: ,300,1,200,9,75,6,0,4,7,225,9,175,3,0.956135,0.574249,715,0.625,0.59375,7,7,False,0,2,0,0,2
f6074298a592695d4ebca7dbc21d6b8b,therig.local,50142,combined-random,512x512x8,completed,lava-shield revision 1 seed 50142 [complete]: ,175,1,150,9,50,8,100,8,5,25,9,125,1,0.86981,0.451668,487,0.5,0.53125,5,5,False,0,2,0,0,2
4162e2d09bdbd408b13ae51211d9349b,therig.local,50143,combined-random,512x512x12,completed,lava-shield revision 1 seed 50143 [complete]: ,75,2,50,9,75,6,150,12,6,150,9,225,1,0.842513,0.457173,511,0.458333,0.5625,12,9,False,0,2,0,0,2
0ed82395957d6ca8ee28a3dded354431,therig.local,50144,combined-random,128x128x2,completed,lava-shield revision 1 seed 50144 [complete]: ,25,3,300,7,50,8,175,2,4,250,7,100,4,0.973717,0.599444,477,0.625,0.71875,9,4,False,0,2,0,0,2
4cd9b0817c6ce0eece75f1cdd2750f4e,pharaoh-dev-1.local,50145,combined-random,128x256x2,completed,lava-shield revision 1 seed 50145 [complete]: ,50,2,25,8,50,6,100,2,3,50,7,25,4,0.971107,0.606281,633,0.625,0.6875,6,3,False,0,2,0,0,2
df2ccc881cc1a8a0a55a753a727eb331,pharaoh-dev-3.local,50146,combined-random,256x128x2,completed,lava-shield revision 1 seed 50146 [complete]: ,250,0,225,7,25,6,75,2,3,250,8,275,8,0.971235,0.609927,809,0.625,0.71875,0,0,False,0,2,0,0,2
8bf5beb05aad7866a99befc1dc6ef530,pharaoh-dev-3.local,50147,combined-random,256x256x2,completed,lava-shield revision 1 seed 50147 [complete]: ,300,2,175,8,25,8,0,2,5,100,8,0,5,0.994782,0.643226,991,0.625,0.71875,10,9,False,0,2,0,0,2
f7edd18da6283bddc72e5c77ed8198f6,pharaoh-dev-3.local,50148,combined-random,256x256x4,completed,lava-shield revision 1 seed 50148 [complete]: ,100,1,275,8,25,8,275,4,6,0,8,250,5,0.957753,0.575068,734,0.625,0.6875,6,6,False,0,2,0,0,2
67e4ca5256b0a83e3a499f48b8f57c37,pharaoh-dev-3.local,50149,combined-random,256x256x8,completed,lava-shield revision 1 seed 50149 [complete]: ,0,0,200,8,75,8,225,8,4,50,8,200,1,0.824096,0.42519,485,0.583333,0.5625,0,0,False,0,2,0,0,2
e67619a097b9912bddd49909a31ca175,pharaoh-dev-3.local,50150,combined-random,256x512x2,completed,lava-shield revision 1 seed 50150 [complete]: ,250,3,300,9,75,10,225,2,9,275,8,275,2,0.989534,0.59049,794,0.625,0.6875,27,23,False,0,2,0,0,2
3a2c29f8c528de2fb52186d47cb68ca2,pharaoh-dev-3.local,50151,combined-random,256x512x4,completed,lava-shield revision 1 seed 50151 [complete]: ,300,1,0,9,25,10,125,4,7,200,8,250,1,0.900796,0.499725,681,0.541667,0.59375,7,6,False,0,2,0,0,2
5f911db1af6f9aed25476b02317c67fc,pharaoh-dev-2.local,50152,combined-random,256x512x8,completed,lava-shield revision 1 seed 50152 [complete]: ,150,2,100,9,25,6,25,8,3,200,8,50,1,0.899337,0.504389,539,0.458333,0.625,6,4,False,0,2,0,0,2
6b3133066659c355d11795b0afe986f3,pharaoh-dev-2.local,50153,combined-random,512x256x2,completed,lava-shield revision 1 seed 50153 [complete]: ,125,2,175,8,50,6,125,2,8,25,9,150,1,0.971594,0.573403,764,0.625,0.71875,16,13,False,0,2,0,0,2
5a0738ac959f8139677abb0dcdd085a1,pharaoh-dev-2.local,50154,combined-random,512x256x4,completed,lava-shield revision 1 seed 50154 [complete]: ,300,0,125,8,50,8,200,4,4,175,9,200,3,0.980578,0.620366,888,0.625,0.6875,0,0,False,0,2,0,0,2
29d50a794166516140036b2b566955c9,pharaoh-dev-2.local,50155,combined-random,512x256x8,completed,lava-shield revision 1 seed 50155 [complete]: ,75,3,300,8,75,6,300,8,3,100,9,50,8,0.943771,0.567033,858,0.583333,0.71875,9,9,False,0,2,0,0,2
a1a004e49059c88b6eb712117593369d,pharaoh-dev-2.local,50156,combined-random,512x512x2,completed,lava-shield revision 1 seed 50156 [complete]: ,150,3,50,9,25,8,200,2,4,25,9,175,4,0.993723,0.621754,1112,0.625,0.71875,12,8,False,0,2,0,0,2
c7a29b4360f85538e1226696fd1ed225,pharaoh-dev-2.local,50157,combined-random,512x512x4,completed,lava-shield revision 1 seed 50157 [complete]: ,150,2,100,9,75,12,75,4,4,100,9,0,2,0.901779,0.515111,925,0.583333,0.59375,8,7,False,0,2,0,0,2
2b3c1df379c6ed86ed312f24d46a725d,pharaoh-dev-2.local,50158,combined-random,512x512x8,completed,lava-shield revision 1 seed 50158 [complete]: ,300,2,175,9,75,6,50,8,6,175,9,300,3,0.892541,0.510783,533,0.541667,0.59375,12,9,True,0,2,0,0,2
d652afd82dd3e1c0cad9c59cceb282fd,pharaoh-dev-2.local,50159,combined-random,512x512x12,completed,lava-shield revision 1 seed 50159 [complete]: ,250,2,100,9,50,8,100,12,9,125,9,125,6,0.904054,0.528758,670,0.625,0.6875,18,14,False,0,2,0,0,2
01555c640d48cdc31669c627e6aef916,pharaoh-dev-2.local,50160,combined-random,128x128x2,completed,lava-shield revision 1 seed 50160 [complete]: ,125,0,175,7,25,8,250,2,3,0,7,300,8,0.993821,0.620804,566,0.583333,0.71875,0,0,False,0,2,0,0,2
43770605a4d939f3881780c6725e624d,pharaoh-dev-2.local,50161,combined-random,128x256x2,completed,lava-shield revision 1 seed 50161 [complete]: ,25,3,250,8,75,8,50,2,3,75,7,125,8,0.971441,0.613165,976,0.625,0.71875,9,5,False,0,2,0,0,2
