job,host,seed,variant,shape,cohort,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,starter_secondary,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
6062c77bcb43dbf3fc725e6d0f6b16fc,therig.local,50107,combined-random,512x256x8,bulk,completed,lava-shield revision 1 seed 50107 [complete]: ,250,1,25,8,75,6,125,8,4,25,9,225,7,0.933552,0.554966,1003,0.541667,0.71875,4,4,False,False,0,2,0,0,2
4c31b949ef7d391cb83141e7f759a9e8,therig.local,50108,combined-random,512x512x2,bulk,completed,lava-shield revision 1 seed 50108 [complete]: ,0,3,25,9,25,10,250,2,4,100,9,50,3,0.990471,0.594685,768,0.625,0.625,12,10,False,False,0,2,0,0,2
d6a2bb640f25e3b1f1b0b823cd0d0967,therig.local,50109,combined-random,512x512x4,bulk,completed,lava-shield revision 1 seed 50109 [complete]: ,0,0,200,9,50,8,150,4,4,200,9,50,3,0.958764,0.585674,858,0.583333,0.71875,0,0,False,False,0,2,0,0,2
4f04c5c0b1b5c71d17c1e41a88723064,therig.local,50110,combined-random,512x512x8,bulk,completed,lava-shield revision 1 seed 50110 [complete]: ,125,3,0,9,50,12,225,8,5,250,9,25,1,0.885565,0.478726,643,0.458333,0.625,15,12,False,False,0,2,0,0,2
9ffa889561d9e9a914b5e987ccbdb4b0,therig.local,50111,combined-random,512x512x12,bulk,completed,lava-shield revision 1 seed 50111 [complete]: ,75,1,300,9,50,12,125,12,3,250,9,50,8,0.948625,0.576651,742,0.625,0.65625,3,1,False,False,0,2,0,0,2
07609031897a29ad59c33e66319f742d,therig.local,50112,combined-random,128x128x2,bulk,completed,lava-shield revision 1 seed 50112 [complete]: ,275,1,0,7,75,8,125,2,3,75,7,300,8,0.966526,0.611187,585,0.625,0.71875,2,0,False,False,0,2,0,0,2
de1ab2603b74f98cb03ad66da81ce9d0,therig.local,50113,combined-random,128x256x2,bulk,completed,lava-shield revision 1 seed 50113 [complete]: ,50,3,175,8,75,8,75,2,3,250,7,250,3,0.984205,0.589238,473,0.625,0.71875,6,0,False,False,0,2,0,0,2
6e0c98516a4fb80eaddba15c9a43eb2d,therig.local,50114,combined-random,256x128x2,bulk,completed,lava-shield revision 1 seed 50114 [complete]: ,250,1,300,7,75,8,250,2,3,250,8,300,4,0.993175,0.629469,647,0.625,0.71875,3,1,False,False,0,2,0,0,2
560b59161af84a2c19f384c0461683a1,therig.local,50115,combined-random,256x256x2,bulk,completed,lava-shield revision 1 seed 50115 [complete]: ,50,2,25,8,50,8,275,2,3,275,8,300,6,0.998767,0.640987,881,0.625,0.71875,6,5,False,False,0,2,0,0,2
d9b17bfc141ca5dce240ca7cf60274d3,therig.local,50116,combined-random,256x256x4,bulk,completed,lava-shield revision 1 seed 50116 [complete]: ,25,3,225,8,25,10,225,4,8,150,8,225,8,0.967962,0.597305,589,0.583333,0.71875,24,18,False,False,0,2,0,0,2
05de2ebe2c2cb7eb8ffe58b1447a8ce9,therig.local,50117,combined-random,256x256x8,bulk,completed,lava-shield revision 1 seed 50117 [complete]: ,225,2,225,8,50,6,300,8,5,175,8,0,1,0.83328,0.419835,574,0.375,0.53125,10,7,True,True,0,2,0,0,2
181ba746603ac9891d754e9f90106010,therig.local,50118,combined-random,256x512x2,bulk,completed,lava-shield revision 1 seed 50118 [complete]: ,75,1,50,9,50,6,125,2,9,250,8,100,5,0.939592,0.56338,841,0.625,0.71875,9,5,False,False,0,2,0,0,2
7c6861309691b90698aaed44aad4bd85,therig.local,50119,combined-random,256x512x4,bulk,completed,lava-shield revision 1 seed 50119 [complete]: ,25,1,275,9,50,8,125,4,5,225,8,50,8,0.948978,0.581255,573,0.625,0.71875,5,5,False,False,0,2,0,0,2
fadea47ab133b1dcd606a58c0e28eb49,therig.local,50120,combined-random,256x512x8,bulk,completed,lava-shield revision 1 seed 50120 [complete]: ,300,3,75,9,75,6,250,8,4,100,8,300,4,0.947318,0.574994,592,0.541667,0.71875,12,8,False,False,0,2,0,0,2
65d76720725f669871f43f6438797a47,therig.local,50121,combined-random,512x256x2,bulk,completed,lava-shield revision 1 seed 50121 [complete]: ,75,0,100,8,50,6,25,2,8,100,9,100,1,0.976034,0.567244,576,0.583333,0.59375,0,0,False,False,0,2,0,0,2
b4cfa901c427f4f0ae175c7ea0ec6440,therig.local,50122,combined-random,512x256x4,bulk,completed,lava-shield revision 1 seed 50122 [complete]: ,300,3,125,8,75,10,100,4,5,0,9,275,1,0.890013,0.433926,574,0.375,0.5625,15,11,False,False,0,2,0,0,2
06a7fde6957fdcae4e924054cafce93a,pharaoh-dev-3.local,50123,combined-random,512x256x8,bulk,completed,lava-shield revision 1 seed 50123 [complete]: ,300,1,25,8,25,8,75,8,3,50,9,200,2,0.927083,0.558491,853,0.583333,0.6875,3,3,False,False,0,2,0,0,2
4489ee2c834b659e0bb9e62e39f45cf7,pharaoh-dev-3.local,50124,combined-random,512x512x2,bulk,completed,lava-shield revision 1 seed 50124 [complete]: ,75,2,300,9,75,6,275,2,7,300,9,150,3,0.992652,0.591087,906,0.541667,0.65625,14,12,False,False,0,2,0,0,2
58bf1659a56095101b8ae5c0612adbe3,pharaoh-dev-3.local,50125,combined-random,512x512x4,bulk,completed,lava-shield revision 1 seed 50125 [complete]: ,0,2,225,9,25,6,100,4,8,175,9,300,1,0.950075,0.552618,497,0.625,0.65625,16,15,False,False,0,2,0,0,2
79cd10f069ba52e3b4a467003a308e53,pharaoh-dev-3.local,50126,combined-random,512x512x8,bulk,completed,lava-shield revision 1 seed 50126 [complete]: ,300,3,25,9,25,10,275,8,8,125,9,300,4,0.951307,0.586641,740,0.625,0.71875,24,20,False,False,0,2,0,0,2
65e9dd3449465c22f2f9445b9c1724e3,pharaoh-dev-3.local,50127,combined-random,512x512x12,bulk,completed,lava-shield revision 1 seed 50127 [complete]: ,175,3,225,9,75,10,150,12,3,125,9,175,3,0.86548,0.480525,589,0.541667,0.625,9,8,False,False,0,2,0,0,2
2ccef0f55d99a653a8dfb23e999e96a4,pharaoh-dev-3.local,50128,combined-random,128x128x2,bulk,completed,lava-shield revision 1 seed 50128 [complete]: ,300,3,25,7,25,8,0,2,3,75,7,275,1,0.987692,0.585045,449,0.583333,0.59375,9,6,False,True,0,2,0,0,2
756b828ff18efe53d5d5b4e920a83c34,pharaoh-dev-2.local,50129,combined-random,128x256x2,bulk,completed,lava-shield revision 1 seed 50129 [complete]: ,200,3,200,8,25,8,50,2,4,275,7,75,2,0.984596,0.602767,640,0.625,0.71875,9,5,False,False,0,2,0,0,2
6fad11be22228edc565bdc51bc91bda7,pharaoh-dev-2.local,50130,combined-random,256x128x2,bulk,completed,lava-shield revision 1 seed 50130 [complete]: ,200,0,225,7,75,6,275,2,4,275,8,25,2,0.985697,0.579644,495,0.583333,0.71875,0,0,False,False,0,2,0,0,2
