generator,map_seed,rotation,engine_seed,start,team,start_x,start_y,placement,won,result,alive,eliminated_tick,prestige,units,workers,explorers,warriors,buildings,sites,quality_fitness,quality_win_probability
60,2002,0,1,0,0,51,46,2,0,lost,0,50278,0,14,13,0,1,0,0,-0.097667,0.239911
60,2002,0,1,1,1,6,104,4,0,lost,0,33374,0,0,0,0,0,0,0,-0.021632,0.258864
60,2002,0,1,2,2,77,114,1,1,won,1,-1,0,218,110,13,95,38,2,-0.126401,0.233115
60,2002,0,1,3,3,126,27,3,0,lost,0,44560,0,0,0,0,0,0,1,0.013462,0.26811
60,2002,1,2,3,0,126,27,1,1,won,1,-1,0,161,88,12,61,26,3,0.013462,0.26811
60,2002,1,2,0,1,51,46,3,0,lost,0,76433,0,13,9,1,3,0,0,-0.097667,0.239911
60,2002,1,2,1,2,6,104,2,0,lost,0,77136,0,8,5,0,3,0,0,-0.021632,0.258864
60,2002,1,2,2,3,77,114,4,0,lost,0,54288,0,0,0,0,0,0,0,-0.126401,0.233115
60,2002,2,3,2,0,77,114,1,1,won,1,-1,0,169,92,13,64,32,2,-0.126401,0.233115
60,2002,2,3,3,1,126,27,2,0,lost,0,39559,0,7,6,0,1,0,0,0.013462,0.26811
60,2002,2,3,0,2,51,46,3,0,lost,0,35890,0,0,0,0,0,0,0,-0.097667,0.239911
60,2002,2,3,1,3,6,104,4,0,lost,0,29619,0,0,0,0,0,0,0,-0.021632,0.258864
60,2002,3,4,1,0,6,104,4,0,lost,0,18960,0,0,0,0,0,0,0,-0.021632,0.258864
60,2002,3,4,2,1,77,114,2,0,lost,0,43881,0,26,24,0,2,0,0,-0.126401,0.233115
60,2002,3,4,3,2,126,27,1,1,won,1,-1,0,64,42,3,19,8,0,0.013462,0.26811
60,2002,3,4,0,3,51,46,3,0,lost,0,27284,0,0,0,0,0,0,0,-0.097667,0.239911
